Player ID,Player Name,Team,Team ID,Position,Passing Yards,Passing Touchdowns,Interceptions
1,Matt Ryan,ATL,2,QB,4581,26,11
2,Tom Brady,TAM,30,QB,4633,40,12
3,Ben Roethlisberger,PIT,27,QB,3803,33,10
4,Justin Herbert,LAC,18,QB,4336,31,10
5,Patrick Mahomes,KAN,16,QB,4740,38,6
6,Josh Allen,BUF,4,QB,4544,37,10
7,Kyler Murray,ARI,1,QB,3971,26,12
8,Russell Wilson,SEA,29,QB,4212,40,13
9,Jared Goff,LAR,19,QB,3952,20,13
10,Deshaun Watson,HOU,13,QB,4823,33,7
11,Philip Rivers,IND,14,QB,4169,24,11
12,Matthew Stafford,DET,11,QB,4084,26,10
13,Aaron Rodgers,GNB,12,QB,4299,48,5
14,Derek Carr,LVR,17,QB,4103,27,9
15,Kirk Cousins,MIN,21,QB,4265,35,13
16,Teddy Bridgewater,CAR,5,QB,3733,15,11
17,Baker Mayfield,CLE,8,QB,3563,26,8
18,Ryan Tannehill,TEN,31,QB,3819,33,7
19,Daniel Jones,NYG,24,QB,2943,11,10
20,Drew Lock,DEN,10,QB,2933,16,15
21,Carson Wentz,PHI,26,QB,2620,16,15
22,Joe Burrow,CIN,7,QB,2688,13,5
23,Drew Brees,NOR,23,QB,2942,24,6
24,Lamar Jackson,BAL,3,QB,2757,26,9
25,Cam Newton,NWE,22,QB,2657,8,10
26,Sam Darnold,NYJ,25,QB,2208,9,11
27,Andy Dalton,DAL,9,QB,2170,14,8
28,Gardner Minshew II,JAX,15,QB,2259,16,5
29,Nick Mullens,SFO,28,QB,2437,12,12
30,Nick Foles,CHI,6,QB,1852,10,8
31,Mitchell Trubisky,CHI,6,QB,2055,16,8
32,Tua Tagovailoa,MIA,20,QB,1814,11,5
33,Ryan Fitzpatrick,MIA,20,QB,2091,13,8
34,Alex Smith,WAS,32,QB,1582,6,8
35,Dwayne Haskins,WAS,32,QB,1439,5,7
36,Dak Prescott,DAL,9,QB,1856,9,4
37,Mike Glennon,JAX,15,QB,1072,7,5
38,Jalen Hurts,PHI,26,QB,1061,6,4
39,Brandon Allen,CIN,7,QB,925,5,4
40,Jimmy Garoppolo,SFO,28,QB,1096,7,5
41,Joe Flacco,NYJ,25,QB,864,6,3
42,Taysom Hill,NOR,23,WR,928,4,2
43,Jake Luton,JAX,15,QB,624,2,6
44,C.J. Beathard,SFO,28,QB,787,6,0
45,Kyle Allen,WAS,32,QB,610,4,1
46,Colt McCoy,NYG,24,QB,375,1,1
47,Jeff Driskel,DEN,10,QB,432,3,2
48,Phillip Walker,CAR,5,QB,368,1,5
49,Jarrett Stidham,NWE,22,QB,256,2,3
50,Chase Daniel,DET,11,QB,264,1,2
51,Ben DiNucci,DAL,9,QB,219,0,0
52,Mason Rudolph,PIT,27,QB,324,2,1
53,Brett Rypien,DEN,10,QB,295,2,4
54,Garrett Gilbert,DAL,9,QB,243,1,1
