Player ID,Player Name,Team,Position,Receptions,Receiving Yards,Receiving TDs,Fumbles
113,Stefon Diggs,BUF,WR,127,1535,8,0
114,Davante Adams,GNB,WR,115,1374,18,1
115,DeAndre Hopkins,ARI,WR,115,1407,6,3
116,Darren Waller,LVR,TE,107,1196,9,2
84,Travis Kelce,KAN,TE,105,1416,11,1
117,Allen Robinson,CHI,WR,102,1250,6,0
89,Keenan Allen,LAC,WR,100,992,8,3
118,Tyler Lockett,SEA,WR,100,1054,10,1
119,JuJu Smith-Schuster,PIT,WR,97,831,9,3
120,Robby Anderson,CAR,WR,95,1096,3,1
121,Amari Cooper,DAL,WR,92,1114,5,0
122,Cooper Kupp,LAR,WR,92,974,3,1
123,Calvin Ridley,ATL,WR,90,1374,9,1
124,Robert Woods,LAR,WR,90,936,6,2
125,Justin Jefferson,MIN,WR,88,1400,7,1
126,Diontae Johnson,PIT,WR,88,923,7,2
127,Tyreek Hill,KAN,WR,87,1276,15,1
128,Terry McLaurin,WAS,WR,87,1118,4,1
129,Alvin Kamara,NOR,RB,83,756,5,1
130,D.K. Metcalf,SEA,WR,83,1303,10,1
90,Cole Beasley,BUF,WR,82,967,4,0
131,Brandin Cooks,HOU,WR,81,1150,6,0
132,J.D. McKissic,WAS,RB,80,589,2,3
81,Tyler Boyd,CIN,WR,79,841,4,1
133,Curtis Samuel,CAR,WR,77,851,3,1
134,Marvin Jones,DET,WR,76,978,9,0
135,CeeDee Lamb,DAL,WR,74,935,5,2
136,Adam Thielen,MIN,WR,74,925,14,0
83,Russell Gage,ATL,WR,72,786,4,0
78,Jarvis Landry,CLE,WR,72,840,3,2
108,Logan Thomas,WAS,TE,72,670,6,0
137,A.J. Brown,TEN,WR,70,1075,11,2
138,Mike Evans,TAM,WR,70,1006,13,0
139,Tee Higgins,CIN,WR,67,908,6,1
140,T.J. Hockenson,DET,TE,67,723,6,1
105,D.J. Moore,CAR,WR,66,1193,4,0
141,Sterling Shepard,NYG,WR,66,656,3,0
142,Corey Davis,TEN,WR,65,984,5,1
143,Chris Godwin,TAM,WR,65,840,7,1
144,Evan Engram,NYG,TE,63,654,1,1
145,Nyheim Hines,IND,RB,63,482,4,0
146,DeVante Parker,MIA,WR,63,793,4,1
147,Dalton Schultz,DAL,TE,63,615,4,1
148,Chase Claypool,PIT,WR,62,873,9,3
149,Noah Fant,DEN,TE,62,673,3,0
150,Darnell Mooney,CHI,WR,61,631,4,1
151,Emmanuel Sanders,NOR,WR,61,726,5,1
152,Brandon Aiyuk,SFO,WR,60,748,5,0
153,Hunter Henry,LAC,TE,60,613,4,0
94,Jamison Crowder,NYJ,WR,59,699,6,0
154,Mike Davis,CAR,RB,59,373,2,1
155,Michael Gallup,DAL,WR,59,843,5,0
85,Jakobi Meyers,NWE,WR,59,729,0,1
156,Mark Andrews,BAL,TE,58,701,7,2
157,Marquise Brown,BAL,WR,58,769,8,0
158,Laviska Shenault Jr.,JAX,WR,58,600,5,0
159,Eric Ebron,PIT,TE,56,558,5,1
160,T.Y. Hilton,IND,WR,56,762,5,0
161,Hayden Hurst,ATL,TE,56,571,6,0
162,Hunter Renfrow,LVR,WR,56,656,2,2
163,Keelan Cole,JAX,WR,55,642,5,0
164,Austin Ekeler,LAC,RB,54,403,2,1
165,Larry Fitzgerald,ARI,WR,54,409,1,0
166,David Montgomery,CHI,RB,54,438,2,1
167,DJ Chark,JAX,WR,53,706,5,0
168,Chase Edmonds,ARI,RB,53,402,4,2
169,Will Fuller,HOU,WR,53,879,8,0
170,Mike Gesicki,MIA,TE,53,703,6,0
110,Greg Ward,PHI,WR,53,419,6,2
171,Ezekiel Elliott,DAL,RB,52,338,2,6
172,Jerry Jeudy,DEN,WR,52,856,3,2
173,Josh Reynolds,LAR,WR,52,618,2,2
174,Robert Tonyan,GNB,TE,52,586,11,0
175,Julio Jones,ATL,WR,51,771,3,0
176,Tim Patrick,DEN,WR,51,742,6,0
177,Jimmy Graham,CHI,TE,50,456,8,1
178,Darius Slayton,NYG,WR,50,751,3,1
179,Kendrick Bourne,SFO,WR,49,667,2,0
180,Anthony Miller,CHI,WR,49,485,2,2
181,James Robinson,JAX,RB,49,344,3,3
182,James White,NWE,RB,49,375,1,1
183,Nelson Agholor,LVR,WR,48,896,8,0
184,Christian Kirk,ARI,WR,48,621,6,1
185,George Kittle,SFO,TE,48,634,2,0
186,Mike Williams,LAC,WR,48,756,5,0
187,Giovani Bernard,CIN,RB,47,355,3,1
188,Damiere Byrd,NWE,WR,47,604,1,3
189,A.J. Green,CIN,WR,47,523,2,0
190,Aaron Jones,GNB,RB,47,355,2,2
191,Danny Amendola,DET,WR,46,602,0,0
192,Dallas Goedert,PHI,TE,46,524,3,0
193,Austin Hooper,CLE,TE,46,435,4,0
194,D'Andre Swift,DET,RB,46,357,2,3
195,Antonio Brown,TAM,WR,45,483,4,0
196,Rob Gronkowski,TAM,TE,45,623,7,1
197,Demarcus Robinson,KAN,WR,45,466,3,2
198,Dalvin Cook,MIN,RB,44,361,1,5
199,Tyler Higbee,LAR,TE,44,521,5,0
106,Zach Pascal,IND,WR,44,629,5,0
200,Gerald Everett,LAR,TE,41,417,1,1
201,Myles Gaskin,MIA,RB,41,388,2,2
202,Mecole Hardman,KAN,WR,41,560,4,2
203,Jonnu Smith,TEN,TE,41,448,8,0
204,Chris Conley,JAX,WR,40,471,2,1
205,Michael Pittman Jr.,IND,WR,40,503,1,0
206,Drew Sample,CIN,TE,40,349,1,1
207,Michael Thomas,NOR,WR,40,438,0,0
208,Anthony Firkser,TEN,TE,39,387,1,0
93,Randall Cobb,HOU,WR,38,441,3,0
209,Travis Fulgham,PHI,WR,38,539,4,0
210,Kareem Hunt,CLE,RB,38,304,5,2
211,Devin Singletary,BUF,RB,38,269,0,1
212,Jordan Akins,HOU,TE,37,403,1,0
213,Braxton Berrios,NYJ,WR,37,394,3,0
214,Chris Carson,SEA,RB,37,287,4,1
215,Jared Cook,NOR,TE,37,504,7,1
