Player ID,Player Name,Team,Position,Rushing Yards,Rushing Touchdowns,Fumbles
304,Derrick Henry,TEN,RB,2027,17,3
198,Dalvin Cook,MIN,RB,1557,16,5
231,Josh Jacobs,LVR,RB,1065,12,2
166,David Montgomery,CHI,RB,1070,8,1
171,Ezekiel Elliott,DAL,RB,979,6,6
181,James Robinson,JAX,RB,1070,7,3
267,Kenyan Drake,ARI,RB,955,10,3
223,Jonathan Taylor,IND,RB,1169,11,1
239,Melvin Gordon,DEN,RB,986,9,4
190,Aaron Jones,GNB,RB,1104,9,2
210,Kareem Hunt,CLE,RB,841,6,2
268,Todd Gurley,ATL,RB,678,9,2
256,Ronald Jones II,TAM,RB,978,7,2
327,Nick Chubb,CLE,RB,1067,12,1
328,Frank Gore,NYJ,RB,653,2,1
129,Alvin Kamara,NOR,RB,932,16,1
217,Clyde Edwards-Helaire,KAN,RB,803,4,0
221,Antonio Gibson,WAS,RB,795,11,2
224,James Conner,PIT,RB,721,6,2
154,Mike Davis,CAR,RB,642,6,1
261,Miles Sanders,PHI,RB,867,6,4
24,Lamar Jackson,BAL,QB,1005,7,10
364,Adrian Peterson,DET,RB,604,7,0
211,Devin Singletary,BUF,RB,687,2,1
287,Wayne Gallman,NYG,RB,682,6,1
232,David Johnson,HOU,RB,691,6,2
284,Latavius Murray,NOR,RB,656,4,1
370,Cam Akers,LAR,RB,625,2,1
391,Gus Edwards,BAL,RB,723,6,1
201,Myles Gaskin,MIA,RB,584,3,2
214,Chris Carson,SEA,RB,681,5,1
329,Darrell Henderson,LAR,RB,624,5,0
447,Damien Harris,NWE,RB,691,2,1
25,Cam Newton,NWE,QB,592,12,6
312,J.K. Dobbins,BAL,RB,805,9,2
7,Kyler Murray,ARI,QB,819,11,9
356,Jeff Wilson,SFO,RB,600,7,2
187,Giovani Bernard,CIN,RB,416,3,1
289,Joe Mixon,CIN,RB,428,3,1
245,Jamaal Williams,GNB,RB,505,2,0
416,Phillip Lindsay,DEN,RB,502,1,0
164,Austin Ekeler,LAC,RB,530,1,1
194,D'Andre Swift,DET,RB,521,8,3
346,Zack Moss,BUF,RB,481,4,0
282,Joshua Kelley,LAC,RB,354,2,2
388,Benny Snell Jr.,PIT,RB,368,4,2
333,Raheem Mostert,SFO,RB,521,2,1
6,Josh Allen,BUF,QB,421,8,9
277,Malcolm Brown,LAR,RB,419,5,1
259,Tony Pollard,DAL,RB,435,4,0
269,Brian Hill,ATL,RB,465,1,2
168,Chase Edmonds,ARI,RB,448,1,2
220,Leonard Fournette,TAM,RB,367,6,0
352,Alexander Mattison,MIN,RB,434,2,0
463,Peyton Barber,WAS,RB,258,4,0
319,Devontae Booker,LVR,RB,423,3,1
250,Kalen Ballage,2TM,RB,303,3,1
10,Deshaun Watson,HOU,QB,444,3,8
145,Nyheim Hines,IND,RB,380,3,0
42,Taysom Hill,NOR,WR,457,8,10
132,J.D. McKissic,WAS,RB,365,1,3
368,Jordan Wilkins,IND,RB,308,1,0
8,Russell Wilson,SEA,QB,513,2,7
326,Le'Veon Bell,2TM,RB,328,2,1
331,Carlos Hyde,SEA,RB,356,4,1
234,Jerick McKinnon,SFO,RB,319,5,0
271,Boston Scott,PHI,RB,374,1,2
418,Sony Michel,NWE,RB,449,1,0
255,Duke Johnson,HOU,RB,235,1,3
369,Salvon Ahmed,MIA,RB,319,3,0
434,Mark Ingram,BAL,RB,299,2,0
266,Rex Burkhead,NWE,RB,274,3,0
19,Daniel Jones,NYG,QB,423,1,11
290,Cordarrelle Patterson,CHI,WR,232,1,0
378,La'Mical Perine,NYJ,RB,232,2,0
38,Jalen Hurts,PHI,QB,354,3,9
379,Samaje Perine,CIN,RB,301,3,0
324,Ito Smith,ATL,RB,268,1,1
5,Patrick Mahomes,KAN,QB,308,2,5
390,Matt Breida,MIA,RB,254,0,2
305,Justin Jackson,LAC,RB,270,0,0
322,Christian McCaffrey,CAR,RB,225,5,0
4,Justin Herbert,LAC,QB,234,5,8
491,Alfred Morris,NYG,RB,238,1,0
412,Devonta Freeman,NYG,RB,172,1,0
332,Ty Johnson,2TM,RB,254,1,0
17,Baker Mayfield,CLE,QB,165,1,8
16,Teddy Bridgewater,CAR,QB,279,5,6
307,Kerryon Johnson,DET,RB,181,2,1
21,Carson Wentz,PHI,QB,276,5,10
9,Jared Goff,LAR,QB,99,4,7
363,Jeremy McNichols,TEN,RB,204,1,0
509,AJ Dillon,GNB,RB,242,2,0
20,Drew Lock,DEN,QB,160,3,8
18,Ryan Tannehill,TEN,QB,266,7,6
133,Curtis Samuel,CAR,WR,200,2,1
399,Rodney Smith,CAR,RB,156,1,1
14,Derek Carr,LVR,QB,140,3,11
414,Jamycal Hasty,SFO,RB,148,1,1
317,Darrel Williams,KAN,RB,169,1,0
13,Aaron Rodgers,GNB,QB,149,3,4
22,Joe Burrow,CIN,QB,142,3,9
26,Sam Darnold,NYJ,QB,217,2,4
32,Tua Tagovailoa,MIA,QB,109,3,1
359,Royce Freeman,DEN,RB,170,0,0
543,Jordan Howard,2TM,RB,60,4,1
182,James White,NWE,RB,121,2,1
320,DeeJay Dallas,SEA,RB,108,2,0
487,D'Ernest Johnson,CLE,RB,166,0,1
438,Anthony McFarland Jr.,PIT,RB,113,0,0
31,Mitchell Trubisky,CHI,QB,195,1,6
15,Kirk Cousins,MIN,QB,156,1,9
386,Dare Ogunbowale,JAX,RB,145,0,0
460,DeAndre Washington,2TM,RB,91,0,0
2,Tom Brady,TAM,QB,6,3,4
33,Ryan Fitzpatrick,MIA,QB,151,2,2
427,Josh Adams,NYJ,RB,157,2,0
309,Dion Lewis,NYG,RB,115,2,3
28,Gardner Minshew II,JAX,QB,153,1,5
1,Matt Ryan,ATL,QB,92,2,6
12,Matthew Stafford,DET,QB,112,0,2
466,Tevin Coleman,SFO,RB,53,0,0
27,Andy Dalton,DAL,QB,114,0,2
423,Darwin Thompson,KAN,RB,97,1,2
459,Ke'Shawn Vaughn,TAM,RB,109,0,1
461,Trayveon Williams,CIN,RB,157,0,1
393,Travis Homer,SEA,RB,88,0,0
3,Ben Roethlisberger,PIT,QB,11,0,5
124,Robert Woods,LAR,WR,155,2,2
