Team Name,Team Abbriviation,Team ID
Arizona Cardinals,ARI,1
Atlanta Falcons,ATL,2
Baltimore Ravens,BAL,3
Buffalo Bills,BUF,4
Carolina Panthers,CAR,5
Chicago Bears,CHI,6
Cincinnati Bengals,CIN,7
Cleveland Browns,CLE,8
Dallas Cowboys,DAL,9
Denver Broncos,DEN,10
Detroit Lions,DET,11
Green Bay Packers,GNB,12
Houston Texans,HOU,13
Indianapolis Colts,IND,14
Jacksonville Jaguars,JAX,15
Kansas City Chiefs,KAN,16
Las Vegas Raiders,LVR,17
Los Angeles Chargers,LAC,18
Los Angeles Rams,LAR,19
Miami Dolphins,MIA,20
Minnesota Vikings,MIN,21
New England Patriots,NWE,22
New Orleans Saints,NOR,23
New York Giants,NYG,24
New York Jets,NYJ,25
Philadelphia Eagles,PHI,26
Pittsburgh Steelers,PIT,27
San Francisco 49ers,SFO,28
Seattle Seahawks,SEA,29
Tampa Bay Buccaneers,TAM,30
Tennessee Titans,TEN,31
Washington Football Team,WAS,32
