Player ID,Player Name,Team,Position,Year
1,Matt Ryan,ATL,QB,2020
2,Tom Brady,TAM,QB,2020
3,Ben Roethlisberger,PIT,QB,2020
4,Justin Herbert,LAC,QB,2020
5,Patrick Mahomes,KAN,QB,2020
6,Josh Allen,BUF,QB,2020
7,Kyler Murray,ARI,QB,2020
8,Russell Wilson,SEA,QB,2020
9,Jared Goff,LAR,QB,2020
10,Deshaun Watson,HOU,QB,2020
11,Philip Rivers,IND,QB,2020
12,Matthew Stafford,DET,QB,2020
13,Aaron Rodgers,GNB,QB,2020
14,Derek Carr,LVR,QB,2020
15,Kirk Cousins,MIN,QB,2020
16,Teddy Bridgewater,CAR,QB,2020
17,Baker Mayfield,CLE,QB,2020
18,Ryan Tannehill,TEN,QB,2020
19,Daniel Jones,NYG,QB,2020
20,Drew Lock,DEN,QB,2020
21,Carson Wentz,PHI,QB,2020
22,Joe Burrow,CIN,QB,2020
23,Drew Brees,NOR,QB,2020
24,Lamar Jackson,BAL,QB,2020
25,Cam Newton,NWE,QB,2020
26,Sam Darnold,NYJ,QB,2020
27,Andy Dalton,DAL,QB,2020
28,Gardner Minshew II,JAX,QB,2020
29,Nick Mullens,SFO,QB,2020
30,Nick Foles,CHI,QB,2020
31,Mitchell Trubisky,CHI,QB,2020
32,Tua Tagovailoa,MIA,QB,2020
33,Ryan Fitzpatrick,MIA,QB,2020
34,Alex Smith,WAS,QB,2020
35,Dwayne Haskins,WAS,QB,2020
36,Dak Prescott,DAL,QB,2020
37,Mike Glennon,JAX,QB,2020
38,Jalen Hurts,PHI,QB,2020
39,Brandon Allen,CIN,QB,2020
40,Jimmy Garoppolo,SFO,QB,2020
41,Joe Flacco,NYJ,QB,2020
42,Taysom Hill,NOR,WR,2020
43,Jake Luton,JAX,QB,2020
44,C.J. Beathard,SFO,QB,2020
45,Kyle Allen,WAS,QB,2020
46,Colt McCoy,NYG,QB,2020
47,Jeff Driskel,DEN,QB,2020
48,Phillip Walker,CAR,QB,2020
49,Jarrett Stidham,NWE,QB,2020
